venue_id,remote_id,name,url,start_time,cost,description
,676506,4-H Dog Obedience Classes,https://events.cornell.edu/event/4-h_dog_obedience_classes,2019-04-29T00:00:00-04:00,Varies,"4-H Dog Obedience Classes will be held at Vince's Park starting in April. Classes will be held from 6 pm to 8 pm on Monday evenings.  The series of classes will run Monday, April 29th to Monday, June 24th. *Please note the first class will be without the dogs*


Youth ages 5 to 18 years of age may participate, youth ages 5 to 7 need an adult on the leash with them at all times.


Dogs should be 4 months of age or older.  Youth must provide a copy of their dog’s current Rabies Certificate to the 4-H Office to keep on file. They must also carry a copy of their Rabies Certificate to each class and event they attend with their dog.


Purebreed and mixed breed dogs are both welcome. Dogs showing any signs of aggressive tendencies will be excused from class.


Space is limited. Registration is required. RSVP by Friday, April 23rd


Fee for the classes:  Free for current 4-H members. $15 for non-members (includes a 1 year membership in 4-H)


For additional information, please contact 4-H Youth Development Educator, Nate Kennedy at 315-539-9251 or nk623@cornell.edu.



Registration for event has CLOSED."
,1570776,4-H Forestry Training (4/29/19),https://events.cornell.edu/event/4-h_forestry_training_-_april_29_2019,2019-04-29T00:00:00-04:00,,"The Youth Forestry Training Workshop is designed to prepare youth for the NYS Forestry Weekend in May.  Youth will build skills in tree ID, measurement, pests, etc.   The workshop will take place in the Siuslaw Model Forest, Acra.



Registration for event has CLOSED."
,1606670,9th Annual LULA Training,https://events.cornell.edu/event/9th_annual_lula_training,2019-04-29T00:00:00-04:00,,"5:00pm Registration 


5:30pm Pizza Dinner-Courtesy of The Keuka Lake Association 


6:00-8:00pm Training Program


 



Registration for event has CLOSED."
,1617984,April is Sustainability Month at Cornell,https://events.cornell.edu/event/april_is_sustainability_month_at_cornell,2019-04-29T00:00:00-04:00,"","<p>Cornell University celebrates all things sustainability during the entire month of April, with 60+ events in film, fashion, art, wellness, social justice, climate change leadership, and sustainability topics.&nbsp;&nbsp;</p>

<p>Anyone can host an event!&nbsp; See the <a href=""https://sustainablecampus.cornell.edu/programs-guides/sustainability-events/sustainability-month"">Sustainable Campus website</a> for helpful tips on how to participate, and sign up for the&nbsp;<a href=""http://www.sustainablecampus.cornell.edu/pages/sustainable-campus-connections"">Sustainability Listserv</a>&nbsp;to stay in the know about the latest new opportunities added during April.&nbsp;</p>

<p>View&nbsp;<a href=""http://atkinson.cornell.edu/APRIL2019"">all Sustainability Month events</a>&nbsp;in the Cornell Events calendar or check out a highlight of key events below.</p>

<p><u><b>KEY EVENTS</b></u></p>

<p><span style=""font-size:11pt""><span><span><b><span style=""font-size:12.0pt""><span><span>Climate Change Seminar Series&nbsp;</span></span></span></b><br />
<span style=""font-size:12.0pt""><span><span><i>Mondays at 2:55pm, 233 Plant Science Building or via Webinar</i></span></span></span></span></span></span></p>

<ul>
	<li><span style=""font-size:12pt""><span><span><span><span>4/8: <a href=""http://events.cornell.edu/event/climate_change_indigenous_communities_and_the_imperative_for_action"" style=""text-decoration:underline"">Climate Change, Indigenous Communities, and the Imperative for Action!</a></span></span></span></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span><span>4/15: <a href=""http://events.cornell.edu/event/our_changing_menu_what_climate_change_means_to_the_foods_we_love_and_need"" style=""text-decoration:underline"">Our Changing Menu: What Climate Change Means to the Foods We Love and Need</a> </span></span></span></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span><span>4/22: <a href=""http://events.cornell.edu/event/building_climate_resilience_for_greater_us_security"">Building Climate Resilience for Greater US Security</a></span></span></span></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span><span>4/29: <a href=""http://events.cornell.edu/event/what_is_the_social_cost_of_carbon"">What Is the Social Cost of Carbon?</a></span></span></span></span></span></li>
</ul>

<p style=""text-align:start""><span style=""font-size:11pt""><span><span><span><span><span><span><span><span><span><span><b><span style=""font-size:12.0pt""><span><span>Advance Your Skills - Cornell Sustainability Management Academy&nbsp;Training&nbsp;</span></span></span></b><span style=""font-size:12.0pt""><span><span>(Registration req)</span></span></span></span></span></span></span></span></span></span></span></span></span></span></p>

<ul>
	<li><span style=""font-size:12pt""><span><span><span>4/3, 9am-Noon:</span></span> <span><span><a href=""http://events.cornell.edu/event/sustainability_101_staff_training"" style=""text-decoration:underline"">Sustainability 101 (Staff Training)</a></span></span></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span>4/4<sup>&nbsp;</sup>1pm-4pm:&nbsp;<a href=""http://events.cornell.edu/event/sustainability_201_staff_training"" style=""text-decoration:underline"">Sustainability 201 (Staff Training)</a></span></span></span></span></li>
</ul>

<p><span style=""font-size:11pt""><span><span><b><span style=""font-size:12.0pt""><span><span>Fairs, Festivals</span></span></span></b></span></span></span></p>

<ul>
	<li><span style=""font-size:12pt""><span><span><span>4/8: </span></span><a href=""http://events.cornell.edu/event/dairy_alternative_day""><span><span><span>Dairy Alternative Day</span></span></span></a></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span><span><span>4/10: </span><span><span><a href=""http://events.cornell.edu/event/cornell_energy_symposium"" style=""text-decoration:underline""><span>Cornell Energy Day</span></a></span></span></span></span></span></span></span></li>
	<li><span style=""font-size:11pt""><span><span><span style=""font-size:12.0pt""><span><span>4/20-4/27:</span></span></span><b><span style=""font-size:12.0pt""><span><span> <a href=""https://www.facebook.com/pcwcornell/?__xts__[0]=33.%7B%22logging_data%22%3A%7B%22page_id%22%3A619349058175219%2C%22event_type%22%3A%22clicked_all_page_posts%22%2C%22impression_info%22%3A%22eyJmIjp7InBhZ2VfaWQiOiI2MTkzNDkwNTgxNzUyMTkiLCJpdGVtX2NvdW50IjoiMCJ9fQ%22%2C%22surface%22%3A%22www_pages_home%22%2C%22interacted_story_type%22%3A%22565413710334575%22%2C%22session_id%22%3A%22d9b4b581418635329869d054a60cee31%22%7D%7D&amp;__xts__[1]=68.ARDi4GTs58cR7OvFEKdNoxd5QrTX9YCIt77mNNamldklzWd8fK7VLhsQcXnnvIuynYpMX06ZHUIcHKUp8swn4kTED0XJCK4dKza8Snjhh1T7y9Ruecj5ZaNJQUoMhACvcV_xm2qA1-V9Hg5nVYaKXPSXP86XLWF3okXVWnxTS8FbTwVZKDurYwzvIy-T3EjG-H43asDKHZ83kWy89ssR3Ur_LQOhGH9MD4-ifYtQNoO_uY8Ij07JwAaEdz9EMQknSzhZr4N234EgAKOVo76OJp3fYNeQsO96c1ri76sJr9O-KrvZ-jAWjKkv993T-4L1vjlaBaTfTWXyobYMYs-YjswrODGOrbAHQAmPDD_a2QpTdUBXhydNXCRzO70WOkQ7U8ZAWOqQTBwIgzsBdG0-o0UdIPTR0MZPEHcaYLMaG6vwL2KaiSapX51RA7any7S0gsRvy8dz4itbsB-EFtO-c_q-sGe6AT6wBV-omuh8ldz4a6FpszDwbw&amp;__tn__=kCH-R&amp;eid=ARAuULxgkQGtqaxI96xVupkWyczWhrW6ayaNON60g6uVyVqE2XJRXKbrCCSC_FjWOEecVGYF94vF7UFX&amp;hc_ref=ARQ1aJdl1_ZDKxbiD4stUxNwDXmpCwbturHVvI9HVlQ4t3fiz9NucRp5I24Wocel76k&amp;fref=nf"">People&rsquo;s Climate Week</a>:&nbsp;</span></span></span></b></span></span></span><span style=""font-size:12pt"">Events focused on the&nbsp;intersections between climate change and social justice issues through the stories of climate migrants and marginalized communities.&nbsp;</span></li>
	<li><span style=""font-size:12pt"">4/27: Spring Fest</span></li>
</ul>

<p><span style=""font-size:11pt""><span><span><b><span style=""font-size:12.0pt""><span><span>Lectures</span></span></span></b></span></span></span></p>

<ul>
	<li><span style=""font-size:12pt""><span><span><span><span><span><span>4/18: <u style=""text-decoration:underline""><a href=""http://events.cornell.edu/event/sustainable_and_just_food_systems_ideas_to_action_i2a_forum"" style=""text-decoration:underline"">Sustainable and Just Food Systems Ideas to Action Forum</a></u></span></span></span></span></span></span></span></li>
	<li><b style=""font-size:11pt""><span style=""font-size:12.0pt"">Finance and Sustainability Series:&nbsp;</span></b><span style=""font-size:11pt""><span><span><span><span><span><span><span><span><span><span><i><span style=""font-size:12.0pt""><span><span>A weekly lecture series that highlights leaders in the sustainable global enterprise industry.</span></span></span></i></span></span></span></span></span></span></span></span></span></span></span>
	<ul>
		<li><span style=""font-size:12pt""><span><span>4/9: <a href=""http://events.cornell.edu/event/finance_and_sustainability_colloquium_-_heather_davis"" style=""text-decoration:underline"">Dr. Laurie Marker, Founder and Executive Director of the Cheetah Conservation Fund (CCF)</a></span></span></span></li>
		<li><span style=""font-size:12pt""><span><span>4/16: <a href=""http://events.cornell.edu/event/finance_and_sustainability_colloquium_-_linda_giuliano"" style=""text-decoration:underline"">Linda C. Giuliano, Head of Responsible Investment for AllianceBernstein</a></span></span></span></li>
		<li><span style=""font-size:12pt""><span><span>4/23: <a href=""http://events.cornell.edu/event/finance_and_sustainability_colloquium_-_niki_armacost"" style=""text-decoration:underline"">Niki Armacost, Managing Director of Arc Finance</a></span></span></span></li>
	</ul>
	</li>
</ul>

<p><span style=""font-size:11pt""><span><span><b><span style=""font-size:12.0pt""><span><span>Films, Art &amp; Fashion</span></span></span></b></span></span></span></p>

<ul>
	<li><span style=""font-size:11pt""><span><span><span style=""font-size:12.0pt""><span><span>4/1 - 4/7: <a href=""https://www.ithaca.edu/fleff/"">Finger Lakes Environmental Film Festival (FLEFF)</a></span></span></span></span></span></span></li>
	<li>4/1-4/30: <a href=""http://events.cornell.edu/event/regeneration"">ReGeneration: Human Ecology Building Art Exhibit</a></li>
	<li><span style=""font-size:12pt""><span><span><span><span><span>4/16: <a href=""http://events.cornell.edu/event/smartfin_film_and_talk_with_todd_mcgrain"" style=""text-decoration:underline""><span>&quot;Smartfin&quot; Film and Talk with Todd McGrain</span></a></span></span></span></span></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span><span><span>4/16: <a href=""http://events.cornell.edu/event/ecosystem_benefits_of_campus_trees"" style=""text-decoration:underline""><span>Ecosystem Benefits of Campus Trees</span></a></span></span></span></span></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span><span><span>4/17: </span><span><span><a href=""http://events.cornell.edu/event/prof_guowen_song"" style=""text-decoration:underline""><span>A new approach for functional textiles and protective clothing</span></a></span></span></span></span></span></span></span></li>
</ul>

<p><span style=""font-size:11pt""><span><span><b><span style=""font-size:12.0pt""><span><span>Social &amp; Environmental Justice</span></span></span></b></span></span></span></p>

<ul>
	<li><span style=""font-size:12pt""><span><span><span>4/8: </span></span><a href=""http://events.cornell.edu/event/dairy_alternative_day"">Dairy Alternative Day</a></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span>4/8: </span></span><a href=""http://events.cornell.edu/event/should_we_all_be_vegan"">Should We All Be Vegan?</a></span></span></li>
	<li><span style=""font-size:12pt""><span><span>4/11: <a href=""http://events.cornell.edu/event/grassroots_to_global_broader_impacts_of_civic_ecology"" style=""text-decoration:underline"">Grassroots to Global: Broader Impacts of Civic Ecology</a></span></span></span></li>
	<li><span style=""font-size:12pt""><span><span>4/20-4/27: <a href=""https://www.facebook.com/pcwcornell/?__tn__=kC-R&amp;eid=ARBZonxfzMQE2tH-NvYVhPkaiu66aVofTiz6wmNjBkGnZsGsBGH6yCcUjvFOIvBh8OMi7FABx__TWpdU&amp;hc_ref=ARSRO4-KUg1xC8Q--LanrQVaIPkOh6PcK8rSoRUjQmjcCMNkItGE9Ij6Lu80xg8BVMA&amp;fref=nf&amp;__xts__[0]=68.ARAbWTEGot-Tiptw37LgLXgD28nuK3Ekr2gRHTV25EFio7Gyhz80HKpm7vdqcQTDPmR0DATLaegI4JTeYzH1NSRTe35WTazTtc06bTZp93Kch_2G9FkAALVnm0RPHyyg9hUky6L1AvcNp5y371CRvRdTyLX2_0tSWtnyyUD3fI-MNI-OgYGGGnmR5M-OlRQSn1sN6GrKRPURH6AwJPdjnbkXbz9wxHfbgra4EtAScL9DiE0iaR093rSZdhdgKL7Fg9iE6t-FQt7cSuSItUoUOto7GIccDF8zBgNFOqkEfmUsaty3d_MlqaOmJYryDmU7kEg2BHDTKdF1KcxVqrk"">People&#39;s Climate Week </a></span></span></span><br />
	Full week of activities including an arts quad camp out and fund-raiser, labor and climate organizing teach-in, green-up day, and more!</li>
</ul>

<p><span style=""font-size:11pt""><span><span><b><span style=""font-size:12.0pt""><span><span>Sustainability Challenges</span></span></span></b></span></span></span></p>

<ul>
	<li><span style=""font-size:12pt""><span><span><span>4/19-4/26:&nbsp;<a href=""http://events.cornell.edu/event/2019_carpool_challenge_cat-ch_a_ride_with_a_fur-end"">Cornell Carpool Challenge </a></span></span></span></span></li>
	<li><span style=""font-size:12pt""><span><span><span>4/21:&nbsp;<a href=""http://events.cornell.edu/event/sustainable_case_collaborative"">Spring into Sustainability</a><br />
	Join the Cornell Sustainability Consultants, Cornell ECO, and Spark Design for a sustainability focused case competition.</span></span></span></span></li>
</ul>

<p>&nbsp;</p>

<p><i>Content promotion and events coordination support provided by:</i></p>

<ul>
	<li><a href=""http://www.sustainablecampus.cornell.edu/"">The Campus Sustainability Office</a></li>
	<li><a href=""http://www.acsf.cornell.edu/"">Atkinson Center for a Sustainable Future</a></li>
</ul>
"
,1553336,"Mandatory Arbitration Roundtable, Ithaca NY",https://events.cornell.edu/event/mandatory_arbitration_roundtable_ithaca_ny,2019-04-29T00:00:00-04:00,"","<p>Join CIHLER for a roundtable c<span style=""font-style:normal; text-align:left""><span style=""text-decoration:none"">o-hosted by Interim Dean of the ILR School Alexander Colvin and Professor Dave Sherwyn.</span></span></p>

<p>Discussion topics include:</p>

<p>Mandatory Arbitration and Class Action Waivers:</p>

<p>1) The arguments for and against</p>

<p>2) Personal experiences - management and employees</p>

<p>3) What will employees do / how will employers react?</p>
"
,1606666,Spring Clean Your Home and Finances,https://events.cornell.edu/event/spring_clean_your_home_and_finances,2019-04-29T00:00:00-04:00,,"If you have wanted to put your finances in order, this is the workshop for you.
Along with tips and suggestions, a checklist will be provided to help spring clean you financial house.  This is a free workshop at the Nassau Free Library.



Registration for event has CLOSED."
,1557296,Better Process Control School,https://events.cornell.edu/event/better_process_control_school_1196,2019-04-29T08:00:00-04:00,$800/$400,"<p><span style=""font-size:16px""><span>New York State Food Venture Center, Department of Food Science - Cornell University, Cornell Cooperative Extension, GMA Science and Education Foundation, Associated New York State Food Processors, Inc., NYS Department of Agriculture and Markets.</span></span></p>

<p><span style=""font-size:16px""><span>The Better Process Control Schools (BPCS) certify supervisors of thermal processing systems, acidification, and container closure evaluation programs for low-acid and acidified canned foods. Each processor of low-acid or acidified foods must operate with a certified supervisor on hand at all times during processing.</span></span></p>
"
,1648264,Group Show: Coalesce,https://events.cornell.edu/event/group_show_coalesce,2019-04-29T08:00:00-04:00,,"Coalesce features work from ART 3005: Advanced Practice taught by Associate Professor Barry Perlus and Assistant Professor of the Practice Jaret Vadera.

Featured students are:

Aiza Ahmed (B.F.A. '20)
Ellie Beaudry (B.F.A./B.S. '20)
Madison Chalfant (B.F.A. '20)
Nadia Chernova (B.F.A./B.A. '20)
William Demaria (B.F.A. '20)
Sophie Galowitz (B.F.A. '20)
Gwyneth Haidar (B.A./B.F.A. '21)
Curtis Ho (B.F.A. '20)
Maya Jacks (B.A./B.F.A. '21)
Annabel Keelty (B.F.A. '20)
Bum Jin Kim (B.F.A. '20)
Angelica King-Shaw (B.F.A. '20)
Eric Lee (B.F.A. '20)
Joonsuk Lee (B.F.A. '20)
Vivian Lin (B.F.A. '20)
Ashley Mbogoni (B.F.A. '20)
Julia McFadden (B.F.A. '20)
Kelechukwu Mpamaugo (B.F.A. '20)
Lucy Plowe (B.F.A. '20)
Jake Puglisi (B.F.A. '20)
Cagla Sokullu (B.F.A. '20)
Hyo-Jung Song (B.F.A. '20)
Aiden Walker (B.F.A. '20)
Jerai Wilson (B.F.A. '20)
Michelle Wu (B.F.A. '20)
Nicole Yan (B.F.A. '20)"
437,1638947,PolliNation: Artists & Scientists Crossing Borders to Explore the Value of Pollinator Health,https://events.cornell.edu/event/artists_scientists_pollinator_health,2019-04-29T08:00:00-04:00,"","<p>Threats to pollinator health are intense and varied, from habitat loss and climate change to diseases and pesticides. A new exhibit at Mann Library showcases the results of a multi-year collaboration between the lab of Cornell entomology professor&nbsp;Scott McArt and Welsh artists, who cross national and disciplinary boundaries to celebrate the beauty and importance of pollinators, and reveal how their fate is linked to our planet, and to our own.</p>

<p>Originally developed as a pioneering Arts and Humanities Research Council funded Networking project in Wales called <a href=""https://crosspollinationartsciencecollaboration.wordpress.com/""><i>Cross-Pollination: Revaluing Pollinators through Arts and Science Collaboration</i>,</a>&nbsp;this project has brought artists and scientists together on two continents to explore and promote the world-wide crisis facing pollinators. <i>Cross-Pollination</i> was led by the University of Wales Trinity Saint David in partnership with Aberystwyth University and the National Botanic Garden of Wales. Additional funding was provided by the Arts Council of Wales to enhance the art-work production and to increase the impact of the project, and Wales Arts International to help fund the exhibit in Mann Library.</p>
"
379,1610136,ReGeneration,https://events.cornell.edu/event/regeneration,2019-04-29T08:00:00-04:00,"","<p>An exhibit about extending the lifecycle of waste materials through value-added art and fashion.</p>
"
